Date, CL=F(percentage_actual%), CL=F(percentage_predict%)
2018-01-02,60.369998931884766,60.606346
2018-01-03,2.0444622982204375,-0.9790414944291115
2018-01-04,0.6127999737197434,1.238260418176651
2018-01-05,-0.9277338990310955,0.7903730496764183
2018-01-08,0.4697892721170717,-0.6196942646056414
2018-01-09,1.9536206482246812,0.1492427079938352
2018-01-10,0.9595730899480057,1.5821486711502075
2018-01-11,0.3605008542111777,1.1184287257492542
2018-01-12,0.77761087242063,0.4626524168998003
2018-01-16,-0.8944037558696686,0.7094074971973896
2018-01-17,0.37517848036107776,-0.3818156663328409
2018-01-18,-0.03127514859274656,0.1775410957634449
2018-01-19,-0.9152624914482335,0.0807065749540925
2018-01-22,0.18901046371011715,-0.6879620254039764
2018-01-23,1.520086123283061,-0.10357871651649475
2018-01-24,1.7375390627089478,1.0837314650416374
2018-01-25,-0.15264611641004566,1.502632349729538
2018-01-26,0.9525208031927643,0.16114974860101938
2018-01-29,-0.884688609904714,0.6985565181821585
2018-01-30,-1.6434070675872092,-0.34800381399691105
2018-01-31,0.3553272748424117,-1.2446637265384197
2018-02-01,1.6261392784170003,-0.021513050887733698
2018-02-02,-0.5347687086867393,1.2298968620598316
2018-02-05,-2.0264932056764597,-0.18690418219193816
2018-02-06,-1.198930657119673,-1.641034334897995
2018-02-07,-2.5894132552424463,-1.2546897865831852
2018-02-08,-1.0466056805862667,-2.072041667997837
2018-02-09,-3.2939201652176293,-1.3791033066809177
2018-02-12,0.15179651070695238,-2.72010937333107
2018-02-13,-0.1689513281610961,-0.8067882619798183
2018-02-14,2.3267324800581344,-0.325635215267539
2018-02-15,1.20639334304856,1.5131019987165928
2018-02-16,0.5512324106771447,1.2869050726294518
2018-02-20,0.3554139180612908,0.7118255831301212
2018-02-21,-0.35668161416118527,0.5656492430716753
2018-02-22,1.7364985576530683,0.07596556097269058
2018-02-23,1.2273781096160925,1.4186370186507702
2018-02-26,0.5632930859193859,1.3745580799877644
2018-02-27,-1.428347166883414,0.7112899329513311
2018-02-28,-2.222581027661135,-0.8501628413796425
2018-03-01,-1.0657447012517949,-1.7567340284585953
2018-03-02,0.42448705556441324,-1.1712098494172096
2018-03-05,2.1096367288833613,-0.022437822190113366
2018-03-06,0.047921373846800536,1.4108060859143734
2018-03-07,-2.371213265838666,0.23095922078937292
2018-03-08,-1.7132445314264246,-1.786758378148079
2018-03-09,3.0947807145535373,-1.6564344987273216
2018-03-12,-1.1082143064077215,1.9606424495577812
2018-03-13,-1.0706663410989117,-0.2214103238657117
2018-03-14,0.41010499303579945,-1.0685205459594727
2018-03-15,0.3758776718388992,0.07654375513084233
2018-03-16,1.8447249327303166,0.4114864859730005
2018-03-19,-0.4511743040620993,1.4385400339961052
2018-03-20,2.11356485857642,0.03599501505959779
2018-03-21,2.7159685327562917,1.509533915668726
2018-03-22,-1.3530250013941738,2.5267343968153
2018-03-23,2.3982912379040564,-0.375243928283453
2018-03-26,-0.5034236251668749,1.6100749373435974
2018-03-27,-0.4597747919659962,0.24596457369625568
2018-03-28,-1.3513556752067775,-0.33533049281686544
2018-03-29,0.8623424190560509,-1.0103384032845497
2018-04-02,-3.063012492119814,0.35355600994080305
2018-04-03,0.7872776148861492,-2.0852455869317055
2018-04-04,-0.22092376835751606,-0.19134251633659005
2018-04-05,0.26755111928403286,-0.16800106968730688
2018-04-06,-2.3847881235679136,-0.012584474461618811
2018-04-09,2.14442894184794,-1.7812300473451614
2018-04-10,3.1903585698851233,1.04224793612957
2018-04-11,1.9604872262446604,2.806646376848221
2018-04-12,0.37274489509099024,2.0491862669587135
2018-04-13,0.47484745173238996,0.6669641938060522
2018-04-16,-1.7668350156712507,0.6202021148055792
2018-04-17,0.45098532396656504,-0.9024831466376781
2018-04-18,2.8479692461975596,0.18044478492811322
2018-04-19,-0.26358222691845645,2.2501472383737564
2018-04-20,0.13161208175703243,0.26215799152851105
2018-04-23,0.37879099437999053,-0.04436502931639552
